ddh_fields,microdatalib_section,microdatalib_field,json_fields,is_array,Key
accessAuthAff,data access,access authority,study_desc$data_access$dataset_use$contact,TRUE,affiliation
accessAuthName,data access,access authority,study_desc$data_access$dataset_use$contact,TRUE,name
acronym,identification,abbreviation,study_desc$title_statement$alt_title,FALSE,
body,overview,abstract,study_desc$study_info$abstract,FALSE,
citationText,data access,citation requirements,study_desc$data_access$dataset_use$cit_req,FALSE,
collabUPI,,,,,
contactEmail,contacts,contact,study_desc$distribution_statement$contact,TRUE,email
copyright,disclaimer and copyright,copyright,study_desc$production_statement$copyright,FALSE,
dataClassification,,,,,
dataEdit,data processing,data entry and editing,study_desc$method$data_collection$cleaning_operations,FALSE,
dataNotes,,,,,
dataType,,,,,
devSampleDesign,sampling,deviations from sample design,study_desc$method$data_collection$sampling_deviation,FALSE,
disclaimer,disclaimer and copyright,disclaimer,study_desc$data_access$dataset_use$disclaimer,FALSE,
disclosureRisk,,,,,
embargoDate,,,,,
embargoNotes,,,,,
endDate,data collection,collection_dates,study_desc$study_info$coll_dates,TRUE,end
estSampleError,data appraisal,estimates of sampling error,study_desc$method$analysis_info$sampling_error_estimates,FALSE,
fundingName,,funding_agency,study_desc$production_statement$funding_agencies,TRUE,name
geographicalCoverage,coverage,country,nation,FALSE,
globalPractice,,,,,
kindData,overview,kind of data,study_desc$study_info$data_kind,FALSE,
language,,,,,
license,,,data_access_type,FALSE,
limitExcept,,,,,
lineage,,,,,
maintenance,,,,,
md_referenceID,identification,id number,idno,FALSE,
metadataCharSet,,,,,
metadataFileID,,,,,
metadataProdName,,,,,
metadataStandName,,,,,
modeDataColl,data collection,mode of data collection,study_desc$method$data_collection$coll_mode,FALSE,
modified,,,changed,FALSE,
nameDataColl,data collection,data collectors,study_desc$method$data_collection$data_collectors,TRUE,name
notesDataColl,data collection,notes on data collection,study_desc$method$method_notes,FALSE,
otherAckName,producers and sponsors,other acknowledgements,study_desc$oth_id,TRUE,name
otherDataAppraisail,data appraisal,other forms of data appraisal,study_desc$method$analysis_info$data_appraisal,FALSE,
otherProcess,data processing,other processing,study_desc$study_info$notes,FALSE,
otherProdName,,,,,
parentCatalogID,,,,,
primaryInvName,producers and sponsors,primary investigator,study_desc$authoring_entity,TRUE,name
projectID,,,,,
publisher,producers and sponsors,Producers,doc_desc$producers,TRUE,name
pubPlace,,,,,
questionnaire,data collection,questionnaires,study_desc$method$data_collection$research_instrument,FALSE,
releaseDate,,,created,,
responseRate,sampling,response rate,study_desc$method$analysis_info$response_rate,FALSE,
sampProc,sampling,sampling procedure,study_desc$method$data_collection$sampling_procedure,FALSE,
searchTags,,,,,
seriesInfo,,series information,study_desc$series_statement$series_info,FALSE,
startDate,data collection,collection_dates,study_desc$study_info$coll_dates,TRUE,start
status,,,,,
studyType,identification,study type,study_desc$series_statement$series_name,FALSE,
subscription,,,,,
subtitle,identification,subtitle,study_desc$title_statement$sub_title,FALSE,
supervision,data collection,supervision,study_desc$method$data_collection$act_min,FALSE,
termsofUse,,,data_access_type,FALSE,
timePeriods,data collection,time periods,,,
title,identification,title,study_desc$title_statement$title,FALSE,
topic,scope,topic,,,
transTitle,identification,translated title,study_desc$title_statement$translated_title,FALSE,
ttlUPI,,,,,
UID,,,,,
unitAnalysis,overview,unit of analysis,study_desc$method$data_collection$sample_frame$frame_unit$unit_type,FALSE,
universe,coverage,universe,study_desc$study_info$universe,FALSE,
verDescript,version,version,doc_desc$version_statement$version,FALSE,
verNotes,version,version_notes,doc_desc$version_statement$version_notes,FALSE,
verProdDate,version,version_date,doc_desc$version_statement$version_date,FALSE,
weighting,sampling,weighting,study_desc$method$data_collection$weight,FALSE,
,data access,confidentiality,study_desc$data_access$dataset_use$conf_dec,TRUE,txt
,data collection,frequency,study_desc$method$data_collection$frequency,FALSE,
,coverage,geographic unit,study_desc$study_info$geog_unit,FALSE,
,scope,scope description,study_desc$study_info$notes,FALSE,
harvest_source_id,,,id,FALSE,
