field_label,field_key,field_type,field_selection,field_limit,field_lovs,form,ddh_machine_name,microdata_library,mdlib_section,mdlib_field,mdlib_json_field,tid
Data Collector(s) Abbreviation,abbrDataColl,,,,,Basic,,,,,,
Abstract,abstract,text,,,,Microdata,field_wbddh_abstract,Abstract,,,,
Access Authority Affiliation,accessAuthAff,text,,,,Microdata,field_wbddh_access_authority,Access Authority Affiliation,,,,
Access Authority Email,accessAuthEmail,text,,,,Microdata,,Access Authority Email,,,,
Access Authority Name,accessAuthName,text,,,,Microdata,field_wbddh_authority_name,"Access Authority Name, Emai",data access,access authority,codeBook/stdyDscr/dataAccs/useStmt/contact,
Access Authority URL,accessAuthURL,text,,,,Microdata,,,,,,
Access Conditions,accessConditions,,,,,Microdata,,,,,,
Access Options,accessOptions,display,,,,Basic,,,,,,
Acronym,acronym,text,,25,,Basic,field_wbddh_acronym,,identification,abbreviation,codeBook/stdyDscr/citation/titlStmt/altTitl,
Data Collector(s) Affiliation,affDataColl,,,,,Basic,,,,,,
API Format,apiFormat,list,,,HTML,Basic,,,,,,
API Format,apiFormat,list,,,JSON,Basic,,,,,,
API Format,apiFormat,list,,,KML,Basic,,,,,,
API Format,apiFormat,list,,,Other,Basic,,,,,,
API Format,apiFormat,list,,,REST,Basic,,,,,,
API Format,apiFormat,list,,,WCS,Basic,,,,,,
API Format,apiFormat,list,,,WFS,Basic,,,,,,
API Format,apiFormat,list,,,WIS,Basic,,,,,,
API Format,apiFormat,list,,,WMS,Basic,,,,,,
API Format,apiFormat,list,,,WMTS,Basic,,,,,,
API Format,apiFormat,list,,,WPS,Basic,,,,,,
API Format,apiFormat,list,,,XML,Basic,,,,,,
Description,body,text,,,,Basic,body,,overview,abstract,codeBook/stdyDscr/stdyInfo/abstract,
Citation Text,citationText,text,,,,Microdata,field_wbddh_citation_text,Citation Requirements (?),data access,citation requirements,codeBook/stdyDscr/dataAccs/useStmt/citReq,
Collaborator Email,collabEmail,lookup,,,,Basic,,,,,,
Collaborator Name,collabName,lookup,,80,,Basic,,,,,,
Collaborator Title,collabTitle,lookup,,40,,Basic,,,,,,
Collaborator Unit,collabUnit,lookup,,,,Basic,,,,,,
Collaborator Name (s) UPI,collabUPI,lookup,,255,,Basic,field_wbddh_collaborator_upi,,,,,
Collections,collectionsWB,,,,"DataFirst, University of Cape Town, South Africa",Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Devleopment Research Microdata,Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Enterprise Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Global Financial Inclusion (Global Findex) Database,Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,"Global Health Data Exchange (GHDx), Institute for Health Metrics and Evaluation (IHME)",Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Impact Evaluation Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Integrated Public Use Microdata Series (IPUMS) International,Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Living Standards Measurement Sutdy (LSMS),Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Measure DHS: Demographic and Health Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Migration and Remittances Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Milennium Challenge Corporation (MCC),Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,Service Delivery Facility Surveys,Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,The STEP Skills Measurement Program,Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,The World Bank Group Country Opinon Survey Program (COS),Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,UNICEF Mulitple Indicator Cluster Surveys (MICS),Basic,field_wbddh_collections,Collections,,,,
Collections,collectionsWB,,,,WHO's Multi-Country Studies Programmes,Basic,field_wbddh_collections,Collections,,,,
Confidentiality,confidentiality,,,,,Microdata,,,,,,
Contact Email,contactEmail,lookup,,255,,Basic,field_contact_email,,contacts,contact,codeBook/stdyDscr/citation/distStmt/contact,
Copyright,copyright,text,,255,,Basic,field_wbddh_copyright,,disclaimer and copyright,copyright,codeBook/stdyDscr/citation/prodStmt/copyright,
Data Classification,dataClassification,list,,40,Confidential,Basic,field_wbddh_data_class,,,,,360
Data Classification,dataClassification,list,,40,Not Specified,Basic,field_wbddh_data_class,,,,,879
Data Classification,dataClassification,list,,40,Official Use Only,Basic,field_wbddh_data_class,,,,,359
Data Classification,dataClassification,list,,40,Public,Basic,field_wbddh_data_class,,,,,358
Data Classification,dataClassification,list,,40,Strictly Confidential,Basic,field_wbddh_data_class,,,,,361
Data Collection Cycle,datacollCycle,text,,,,Microdata,,,,,,
Data Editing,dataEdit,text,,,,Microdata,field_wbddh_data_editing,Data Editing,data processing,data entry and editing,codeBook/stdyDscr/method/dataColl/cleanOps,
Data Notes,dataNotes,text,,200,,Basic,field_wbddh_data_notes,,,,,
Data Type,dataType,list,,50,Geospatial,Basic,field_wbddh_data_type,,,,,295
Data Type,dataType,list,,50,Microdata,Basic,field_wbddh_data_type,,,,,294
Data Type,dataType,list,,50,Other,Basic,field_wbddh_data_type,,,,,853
Data Type,dataType,list,,50,Time Series,Basic,field_wbddh_data_type,,,,,293
Dates of Data Collection,datesDataColl,date,,,,Microdata,field_wbddh_data_dates,"Start, End",,,,
Description of Scope,descScope,,,,,Microdata,,,,,,
Deviations from Sample Design,devSampleDesign,text,,,,Microdata,field_wbddh_deviations_sample,,sampling,deviations from sample design,codeBook/stdyDscr/method/dataColl/deviat,
Disclaimer,disclaimer,text,,,,Basic,field_wbddh_disclaimer,Disclaimer,disclaimer and copyright,disclaimer,codeBook/stdyDscr/dataAccs/useStmt/disclaimer,
Disclosure Risk,disclosureRisk,text,,,,Basic,field_wbddh_disclosure_risk,Dislosure Risk,,,,
Is there an embargo date for this dataset?,embargo,y/n,,,,Basic,field_wbddh_embargo,,,,,
Embargo Date,embargoDate,text,,11,,Basic,field_wbddh_embargo_date,,,,,
Embargo Comments,embargoNotes,text,,255,,Basic,field_wbddh_embargo_comments,,,,,
Date Range - To Date,endDate,date,multiselect,11,,Microdata,field_wbddh_end_date,,data collection,collection_dates,codeBook/stdyDscr/stdyInfo/sumDscr/collDate,
Estimates of Sampling Error,estSampleError,text,,,,Microdata,field_wbddh_estimate_sampling,,data appraisal,estimates of sampling error,codeBook/stdyDscr/method/anlyInfo/EstSmpErr,
External Contact Email,extcontactEmail,,,,,Basic,,,,,,
Data Classification of Resource of Dataset,fileuplaoddataClassification,list,,,Confidential,Basic,field_wbddh_data_class,,,,,360
Data Classification of Resource of Dataset,fileuplaoddataClassification,list,,,Official Use Only,Basic,field_wbddh_data_class,,,,,359
Data Classification of Resource of Dataset,fileuplaoddataClassification,list,,,Public,Basic,field_wbddh_data_class,,,,,358
Data Classification of Resource of Dataset,fileuplaoddataClassification,list,,,Strictly Confidential,Basic,field_wbddh_data_class,,,,,361
Description of file,fileuploadBody,text,,,,Basic,,,,,,
Document Type,fileuploadDocumentType,list,,,CSV,Basic,field_wbddh_document_type,,,,,561
Document Type,fileuploadDocumentType,list,,,DOC,Basic,field_wbddh_document_type,,,,,656
Document Type,fileuploadDocumentType,list,,,Other,Basic,field_wbddh_document_type,,,,,646
Document Type,fileuploadDocumentType,list,,,PDF,Basic,field_wbddh_document_type,,,,,616
Document Type,fileuploadDocumentType,list,,,PPT,Basic,field_wbddh_document_type,,,,,626
Document Type,fileuploadDocumentType,list,,,XLS,Basic,field_wbddh_document_type,,,,,581
Document Type,fileuploadDocumentType,list,,,ZIP,Basic,field_wbddh_document_type,,,,,591
Resource Type - upload,fileuploadResourceType,list,,,.Code,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Best Practice Document,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Bulkdownload Dataset file,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Dataset,Basic,,,,,,
