ddh_fields,ddh_machine_name,json_fields
title,title,codeBook/stdyDscr/citation/titlStmt/titl
acronym,field_wbddh_acronym,codeBook/stdyDscr/citation/titlStmt/altTitl
body,body,codeBook/stdyDscr/stdyInfo/abstract
dataType,field_wbddh_data_type,NA
language,field_wbddh_languages_supported,NA
geographicalCoverage,field_wbddh_country,codeBook/stdyDscr/stdyInfo/sumDscr/nation
dataClassification,field_wbddh_data_class,NA
termsofUse,group_terms_of_use,NA
contactEmail,field_contact_email,codeBook/stdyDscr/citation/distStmt/contact
modified,wbddh_date_modified,NA
releasedDate,NA,NA
disclaimer,field_wbddh_disclaimer,codeBook/stdyDscr/dataAccs/useStmt/disclaimer
studyType,field_wbddh_study_type,codeBook/stdyDscr/citation/serStmt/serName
seriesInfo,field_wbddh_series_information,codeBook/stdyDscr/citation/serStmt/serInfo
kindData,field_wbddh_kind_of_data,codeBook/stdyDscr/stdyInfo/sumDscr/dataKind
unitAnalysis,field_wbddh_unit_of_analysis,codeBook/stdyDscr/stdyInfo/sumDscr/anlyUnit
sampProc,field_wbddh_sampling_procedure,codeBook/stdyDscr/method/dataColl/sampProc
devSampleDesign,field_wbddh_deviations_sample,codeBook/stdyDscr/method/dataColl/deviat
responseRate,field_wbbdh_response_rates,codeBook/stdyDscr/method/anlyInfo/respRate
startDate,field_wbddh_start_date,codeBook/stdyDscr/stdyInfo/sumDscr/collDate
endDate,field_wbddh_end_date,codeBook/stdyDscr/stdyInfo/sumDscr/collDate
modeDataColl,field_wbddh_mode_data_collection,codeBook/stdyDscr/method/dataColl/collMode
notesDataColl,field_wbddh_note_data_collection,codeBook/stdyDscr/method/dataColl/collSitu
questionnaire,field_wbddh_questionnaires,codeBook/stdyDscr/method/dataColl/resInstru
nameDataColl,field_wbddh_data_collector,codeBook/stdyDscr/method/dataColl/dataCollector
supervision,field_wbddh_supervision,codeBook/stdyDscr/method/dataColl/actMin
dataEdit,field_wbddh_data_editing,codeBook/stdyDscr/method/dataColl/cleanOps
otherProcess,field_wbddh_other_processing,codeBook/stdyDscr/method/notes
citationText,field_wbddh_citation_text,codeBook/stdyDscr/dataAccs/useStmt/citReq
primaryInvName,field_wbddh_primary_investigator,codeBook/stdyDscr/citation/rspStmt/AuthEnty
fundingName,field_wbddh_funding_name,codebook_stdydscr_citation_prodstmt_fundag
publisher,field_wbddh_publisher_name,codeBook/stdyDscr/citation/prodStmt/producer
otherAckName,NA,codeBook/stdyDscr/citation/rspStmt/othId
md_referenceID,field_wbddh_reference_id,codeBook/stdyDscr/citation/titlStmt/IDNo
searchTags,NA,NA
