vocabulary_name,list_value_name,tid
Format,,1323
Format,APF,964
Format,data,1319
Format,html,1322
Format,CSV,14
Format,CSV ZIP,659
Format,DBF,1215
Format,EXCEL,1181
Format,EXCEL ZIP,871
Format,GDB,664
Format,GIF,667
Format,JPEG,850
Format,KML,22
Format,MDB,1216
Format,MPK,1217
Format,OTHER,889
Format,PDF,839
Format,PNG,663
Format,POWERPOINT,18
Format,PYTHON,953
Format,R,954
Format,RASTER,890
Format,SD,1218
Format,SHP ZIP,957
Format,SPSS,955
Format,STATA,956
Format,TAB,891
Format,TIFF,952
Format,VECTOR,17
Format,WORD,1219
Format,ZIP,666
Format,Format Not Specified,1006
Tags,ASEAN,1312
Tags,COMESA,1311
Tags,country,1308
Tags,country-afghanistan,7
Tags,d,1304
Tags,data,1296
Tags,ddh,1208
Tags,ddh-test,1209
Tags,Development,1309
Tags,election,8
Tags,India,1211
Tags,ini,1305
Tags,Kishore Kasina,1210
Tags,Light,1263
Tags,mahesh,1297
Tags,mahesh2,1300
Tags,meena,1307
Tags,municipal,11
Tags,NAFTA,1313
Tags,one,1212
Tags,politics,9
Tags,price,12
Tags,SACU,1310
Tags,SAFTA,1314
Tags,test tag,1214
Tags,time-series,13
Tags,transparency,10
Tags,work,1207
Data Type,Time Series,293
Data Type,Microdata,294
Data Type,Geospatial,295
Data Type,Other,853
Data Classification,Public,358
Data Classification,Official Use Only,359
Data Classification,Confidential,360
Data Classification,Strictly Confidential,361
Data Classification,Not Specified,879
Document Type,Raster,658
Document Type,Vector,657
Document Type,XLS,581
Document Type,PDF,616
Document Type,CSV,561
Document Type,ZIP,591
Document Type,DOC,656
Document Type,PPT,626
Document Type,Other,646
Document Type,APF,651
Document Type,REST,601
Document Type,Document Type not specified,878
Economy Coverage,Blend,1010
Economy Coverage,High Income,288
Economy Coverage,IBRD,290
Economy Coverage,IDA,291
Economy Coverage,Low Income,1008
Economy Coverage,Lower Middle Income,289
Economy Coverage,Upper Middle Income,1009
Economy Coverage,Economy Coverage not Specified,1318
Global Practices,Agriculture,423
Global Practices,Climate Change,424
Global Practices,Education,420
Global Practices,Energy &amp; Extractives,425
Global Practices,Environment &amp; Natural Resources,426
Global Practices,Finance &amp; Markets,415
Global Practices,"Fragility, Conflict &amp; Violence",431
Global Practices,Gender,432
Global Practices,Governance,416
Global Practices,"Health, Nutrition &amp; Population",421
Global Practices,Jobs,433
Global Practices,Macroeconomics &amp; Fiscal Management,417
Global Practices,Poverty &amp; Equity,418
Global Practices,Public-Private Partnerships,427
Global Practices,Social Protection &amp; Labor,422
Global Practices,"Social, Urban, Rural &amp; Resilience",428
Global Practices,Trade &amp; Competitiveness,419
Global Practices,Transport &amp; ICT,429
Global Practices,Water,430
Kind of Data,Administrative records data,857
Kind of Data,Aggregate data,858
Kind of Data,Census/enumeration data,856
Kind of Data,Clinical data,867
Kind of Data,Event/transaction data,859
Kind of Data,Geospatial data,864
Kind of Data,Observation data/ratings,860
Kind of Data,Process-produced data,861
Kind of Data,Sample survey data,855
Kind of Data,Time budget diaries,862
Kind of Data,Time series data,863
Kind of Data,Kind of Data not specified,884
Languages Supported,English,337
Languages Supported,Abkhaz,1011
Languages Supported,Afar,1012
Languages Supported,Afrikaans,1013
Languages Supported,Akan,1014
Languages Supported,Albanian,1015
Languages Supported,Amharic,1016
Languages Supported,Arabic,339
Languages Supported,Aragonese,1017
Languages Supported,Armenian,1018
Languages Supported,Assamese,1019
Languages Supported,Avaric,1020
Languages Supported,Avestan,1021
Languages Supported,Aymara,1022
Languages Supported,Azerbaijani,1023
Languages Supported,Bahasa Indonesia (Indonesian),345
Languages Supported,Bambara,1024
Languages Supported,Bashkir,1025
Languages Supported,Basque,1026
Languages Supported,Belarusian,1027
Languages Supported,Bengali,1028
Languages Supported,Bihari,1029
Languages Supported,Bislama,1030
Languages Supported,Bosnian,1031
Languages Supported,Breton,1032
Languages Supported,Bulgarian,340
Languages Supported,Burmese,1033
Languages Supported,Catalan,1034
Languages Supported,Chamorro,1035
Languages Supported,Chechen,1036
Languages Supported,Chichewa,1037
Languages Supported,Chinese,342
Languages Supported,Church Slavic,1038
Languages Supported,Chuvash,1039
Languages Supported,Cornish,1040
Languages Supported,Corsican,1041
Languages Supported,Cree,1042
Languages Supported,Croatian,1043
Languages Supported,Czech,1044
Languages Supported,Danish,1045
Languages Supported,Divehi,1046
Languages Supported,Dutch,865
Languages Supported,Dzongkha,1047
Languages Supported,Esperanto,1048
Languages Supported,Estonian,1049
Languages Supported,Ewe,1050
Languages Supported,Faroese,1051
Languages Supported,Fijian,1052
Languages Supported,Finnish,1053
Languages Supported,French,343
Languages Supported,Fulah,1054
Languages Supported,Galician,1055
Languages Supported,Ganda,1056
Languages Supported,Georgian,1057
Languages Supported,German,866
Languages Supported,Greek,1058
Languages Supported,Guarani,1059
Languages Supported,Gujarati,1060
Languages Supported,Haitian,1061
Languages Supported,Hausa,1062
Languages Supported,Hebrew,1063
Languages Supported,Herero,1064
Languages Supported,Hindi,344
Languages Supported,Hiri Motu,1065
Languages Supported,Hungarian,1066
Languages Supported,Icelandic,1067
Languages Supported,Ido,1068
Languages Supported,Igbo,1069
Languages Supported,Indonesian,1070
Languages Supported,Interlingua,1071
Languages Supported,Interlingue,1072
Languages Supported,Inukitut,1073
Languages Supported,Inupiaq,1074
Languages Supported,Irish,1075
Languages Supported,Italian,1076
Languages Supported,Japanese,346
Languages Supported,Javanese,1077
Languages Supported,Kalaallisut,1078
Languages Supported,Kannada,1079
Languages Supported,Kanuri,1080
Languages Supported,Kashmiri,1081
Languages Supported,Kazakh,1082
Languages Supported,Khmer,1083
Languages Supported,Khmer(Cambodian),341
Languages Supported,Kikuyu,1084
Languages Supported,Kinyarwanda,1085
Languages Supported,Kirundi,1086
Languages Supported,Komi,1087
Languages Supported,Kongo,1088
Languages Supported,Korean,1089
Languages Supported,Kuanyama,1090
Languages Supported,Kurdish,1091
Languages Supported,Kyrgyz,1092
Languages Supported,Ladin,1093
Languages Supported,Lao,1094
Languages Supported,Latin,1095
Languages Supported,Latvian,1096
Languages Supported,Limburgan,1097
Languages Supported,Lingala,1098
Languages Supported,Lithuanian,1099
Languages Supported,Luba-Katanga,1100
Languages Supported,Luxembourgish,1101
Languages Supported,Macedonian,347
Languages Supported,Malagasy,1102
Languages Supported,Malay,1103
Languages Supported,Malayalam,1104
Languages Supported,Maltese,1105
Languages Supported,Manx,1106
Languages Supported,Maori,1107
Languages Supported,Marathi,1108
Languages Supported,Marshallese,1109
Languages Supported,Mongolian,348
Languages Supported,Nauru,1110
Languages Supported,Navajo,1111
Languages Supported,Ndonga,1112
Languages Supported,Nepali,1113
Languages Supported,Northern Ndebele,1114
Languages Supported,Northern Sami,1115
Languages Supported,Norwegian,1116
Languages Supported,Norwegian Bokmal,1117
Languages Supported,Norwegian Nynorsk,1118
Languages Supported,Nuosu,1119
Languages Supported,Occitan,1120
Languages Supported,Ojibwa,1121
Languages Supported,Oriya,1122
Languages Supported,Oromo,1123
Languages Supported,Ossetian,1124
Languages Supported,Pali,1125
Languages Supported,Panjabi,1126
Languages Supported,Persian,1127
Languages Supported,Polish,349
